epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
46	0.5635	4.0753	|	0.3727	0.4060	0.4060	0.4060	|	0.2715	0.2770	0.2770	0.2770	|  Best result at epoch 2
47	0.5777	4.2294	|	0.3195	0.4080	0.4080	0.4080	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
48	0.5814	4.0573	|	0.3673	0.4060	0.4060	0.4060	|	0.2912	0.3100	0.3100	0.3100	|  Best result at epoch 2
49	0.5743	4.1353	|	0.3195	0.4080	0.4080	0.4080	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
50	0.5658	4.1009	|	0.3753	0.4060	0.4060	0.4060	|	0.2848	0.3100	0.3100	0.3100	|  Best result at epoch 2
51	0.5745	4.1717	|	0.3688	0.4060	0.4060	0.4060	|	0.2578	0.2710	0.2710	0.2710	|  Best result at epoch 2
52	0.5698	4.0261	|	0.3188	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
53	0.5655	4.2961	|	0.3195	0.4080	0.4080	0.4080	|	0.2714	0.2750	0.2750	0.2750	|  Best result at epoch 2
54	0.5598	4.2280	|	0.3217	0.4080	0.4080	0.4080	|	0.2607	0.2750	0.2750	0.2750	|  Best result at epoch 2
55	0.5718	4.1496	|	0.3188	0.4080	0.4080	0.4080	|	0.2910	0.3140	0.3140	0.3140	|  Best result at epoch 2
56	0.5528	4.4430	|	0.3678	0.4060	0.4060	0.4060	|	0.2835	0.3100	0.3100	0.3100	|  Best result at epoch 2
57	0.5649	4.2334	|	0.3208	0.4080	0.4080	0.4080	|	0.2677	0.2750	0.2750	0.2750	|  Best result at epoch 2
58	0.5521	4.3463	|	0.3183	0.4080	0.4080	0.4080	|	0.2910	0.3140	0.3140	0.3140	|  Best result at epoch 2
59	0.5622	4.1329	|	0.3217	0.4080	0.4080	0.4080	|	0.2655	0.2750	0.2750	0.2750	|  Best result at epoch 2
60	0.5602	4.1301	|	0.3688	0.4060	0.4060	0.4060	|	0.2577	0.2710	0.2710	0.2710	|  Best result at epoch 2
61	0.5648	4.0706	|	0.3688	0.4060	0.4060	0.4060	|	0.2578	0.2710	0.2710	0.2710	|  Best result at epoch 2
62	0.5540	4.0458	|	0.3183	0.4080	0.4080	0.4080	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
63	0.5596	4.1376	|	0.3188	0.4080	0.4080	0.4080	|	0.2655	0.2750	0.2750	0.2750	|  Best result at epoch 2
64	0.5510	4.1042	|	0.3673	0.4060	0.4060	0.4060	|	0.2838	0.3100	0.3100	0.3100	|  Best result at epoch 2
65	0.5627	4.1084	|	0.3688	0.4060	0.4060	0.4060	|	0.2577	0.2710	0.2710	0.2710	|  Best result at epoch 2
66	0.5558	4.2999	|	0.3208	0.4080	0.4080	0.4080	|	0.2677	0.2750	0.2750	0.2750	|  Best result at epoch 2
67	0.5516	4.1798	|	0.3516	0.4080	0.4080	0.4080	|	0.2610	0.2750	0.2750	0.2750	|  Best result at epoch 2
68	0.5670	4.0312	|	0.3670	0.4060	0.4060	0.4060	|	0.2612	0.2710	0.2710	0.2710	|  Best result at epoch 2
69	0.5521	4.0863	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
70	0.5450	4.1720	|	0.3688	0.4060	0.4060	0.4060	|	0.2578	0.2710	0.2710	0.2710	|  Best result at epoch 2
71	0.5499	4.1390	|	0.3516	0.4080	0.4080	0.4080	|	0.2866	0.3140	0.3140	0.3140	|  Best result at epoch 2
72	0.5541	4.1293	|	0.3516	0.4080	0.4080	0.4080	|	0.2866	0.3140	0.3140	0.3140	|  Best result at epoch 2
73	0.5634	4.1337	|	0.3673	0.4060	0.4060	0.4060	|	0.2570	0.2710	0.2710	0.2710	|  Best result at epoch 2
74	0.5472	4.0947	|	0.3516	0.4080	0.4080	0.4080	|	0.2866	0.3140	0.3140	0.3140	|  Best result at epoch 2
75	0.5605	4.1968	|	0.3576	0.4080	0.4080	0.4080	|	0.2619	0.2750	0.2750	0.2750	|  Best result at epoch 2
76	0.5528	4.1952	|	0.3260	0.4120	0.4120	0.4120	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
77	0.5511	4.1942	|	0.3656	0.4060	0.4060	0.4060	|	0.2700	0.2770	0.2770	0.2770	|  Best result at epoch 2
78	0.5534	4.0912	|	0.3563	0.4080	0.4080	0.4080	|	0.2866	0.3140	0.3140	0.3140	|  Best result at epoch 2
79	0.5412	4.0968	|	0.3217	0.4080	0.4080	0.4080	|	0.2655	0.2750	0.2750	0.2750	|  Best result at epoch 2
80	0.5640	4.0290	|	0.3673	0.4060	0.4060	0.4060	|	0.2838	0.3100	0.3100	0.3100	|  Best result at epoch 2
81	0.5504	4.2487	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
82	0.5541	4.1759	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
83	0.5508	4.1795	|	0.3673	0.4060	0.4060	0.4060	|	0.2838	0.3100	0.3100	0.3100	|  Best result at epoch 2
84	0.5443	4.1748	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
85	0.5443	4.3152	|	0.3516	0.4080	0.4080	0.4080	|	0.2610	0.2750	0.2750	0.2750	|  Best result at epoch 2
86	0.5469	4.1709	|	0.3673	0.4060	0.4060	0.4060	|	0.2838	0.3100	0.3100	0.3100	|  Best result at epoch 2
87	0.5619	4.2139	|	0.3516	0.4080	0.4080	0.4080	|	0.2866	0.3140	0.3140	0.3140	|  Best result at epoch 2
88	0.5431	4.2353	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
89	0.5469	4.2898	|	0.3516	0.4080	0.4080	0.4080	|	0.2870	0.3140	0.3140	0.3140	|  Best result at epoch 2
90	0.5409	4.1099	|	0.3516	0.4080	0.4080	0.4080	|	0.2870	0.3140	0.3140	0.3140	|  Best result at epoch 2
91	0.5537	4.2388	|	0.3516	0.4080	0.4080	0.4080	|	0.2610	0.2750	0.2750	0.2750	|  Best result at epoch 2
92	0.5381	4.1209	|	0.3516	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
93	0.5558	4.0302	|	0.3516	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
94	0.5284	4.0948	|	0.3527	0.4080	0.4080	0.4080	|	0.2619	0.2750	0.2750	0.2750	|  Best result at epoch 2
95	0.5668	4.2167	|	0.3516	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
96	0.5495	4.0181	|	0.3688	0.4060	0.4060	0.4060	|	0.2591	0.2710	0.2710	0.2710	|  Best result at epoch 2
97	0.5447	4.1361	|	0.3527	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
98	0.5320	4.2264	|	0.3509	0.4080	0.4080	0.4080	|	0.2608	0.2750	0.2750	0.2750	|  Best result at epoch 2
99	0.5519	4.1005	|	0.3516	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
100	0.5482	4.1832	|	0.3673	0.4060	0.4060	0.4060	|	0.2591	0.2710	0.2710	0.2710	|  Best result at epoch 2
101	0.5320	3.9979	|	0.3688	0.4060	0.4060	0.4060	|	0.2591	0.2710	0.2710	0.2710	|  Best result at epoch 2
102	0.5379	4.1357	|	0.3673	0.4060	0.4060	0.4060	|	0.2570	0.2710	0.2710	0.2710	|  Best result at epoch 2
103	0.5429	4.1805	|	0.3673	0.4060	0.4060	0.4060	|	0.2848	0.3100	0.3100	0.3100	|  Best result at epoch 2
104	0.5426	4.1427	|	0.3563	0.4080	0.4080	0.4080	|	0.2610	0.2750	0.2750	0.2750	|  Best result at epoch 2
105	0.5536	4.1530	|	0.3527	0.4080	0.4080	0.4080	|	0.2619	0.2750	0.2750	0.2750	|  Best result at epoch 2
106	0.5408	4.2206	|	0.3516	0.4080	0.4080	0.4080	|	0.2599	0.2750	0.2750	0.2750	|  Best result at epoch 2
